Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	3.13333e+03	-1.88111e+03	5.02368e+03	-3.72707e+03	7.57437e+03	-5.94667e+03	1.17528e+04	-7.61506e+03
0.046253	3.13333e+03	-1.88481e+03	5.02368e+03	-3.72707e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.079996	3.13518e+03	-1.88666e+03	5.02368e+03	-3.72522e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.127524	3.13703e+03	-1.89036e+03	5.02368e+03	-3.72707e+03	7.57437e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.15745	3.13703e+03	-1.88666e+03	5.02368e+03	-3.72707e+03	7.57252e+03	-5.94852e+03	1.17509e+04	-7.61321e+03
0.207977	3.13518e+03	-1.88851e+03	5.02368e+03	-3.72707e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.236196	3.13333e+03	-1.89036e+03	5.02368e+03	-3.72707e+03	7.57437e+03	-5.94667e+03	1.17509e+04	-7.61506e+03
0.280315	3.13333e+03	-1.88666e+03	5.02553e+03	-3.72522e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.33087	3.13333e+03	-1.88666e+03	5.02368e+03	-3.72522e+03	7.57252e+03	-5.94852e+03	1.17509e+04	-7.61321e+03
0.362827	3.13518e+03	-1.88481e+03	5.02553e+03	-3.72707e+03	7.57437e+03	-5.94667e+03	1.17528e+04	-7.61321e+03
0.412072	3.13888e+03	-1.88481e+03	5.02368e+03	-3.72707e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.445182	3.13518e+03	-1.88666e+03	5.02368e+03	-3.72707e+03	7.57437e+03	-5.94852e+03	1.17528e+04	-7.61506e+03
0.495085	3.13333e+03	-1.88481e+03	5.02368e+03	-3.72707e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61321e+03
0.527489	3.13333e+03	-1.88851e+03	5.02184e+03	-3.72522e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61506e+03
0.57353	3.13148e+03	-1.88666e+03	5.02368e+03	-3.72522e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61506e+03
0.621162	3.13333e+03	-1.88666e+03	5.02184e+03	-3.72707e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61506e+03
0.655884	3.13703e+03	-1.88851e+03	5.02368e+03	-3.72522e+03	7.57252e+03	-5.94852e+03	1.17528e+04	-7.61506e+03
