Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	Z	PHASE	CP	RP
0.000000E+0	-2.542348E+1	2.372800E+0	-2.542348E+1	0.000000E+0	2.865310E+5	-8.909000E+1	5.553840E-11	1.804430E+7
1.000000E-2	-2.542348E+1	2.185050E+0	-2.542347E+1	6.386212E-8	2.865473E+5	-8.908924E+1	5.553525E-11	1.803291E+7
2.000000E-2	-2.542352E+1	2.265614E+0	-2.542351E+1	-3.367016E-7	2.865636E+5	-8.908848E+1	5.553210E-11	1.802153E+7
3.000000E-2	-2.542353E+1	2.290723E+0	-2.542353E+1	-5.274327E-7	2.865724E+5	-8.908942E+1	5.553041E-11	1.804205E+7
4.000000E-2	-2.542355E+1	2.356763E+0	-2.542354E+1	-7.110363E-7	2.865682E+5	-8.909331E+1	5.553127E-11	1.811800E+7
5.000000E-2	-2.542356E+1	2.252669E+0	-2.542355E+1	-7.982765E-7	2.865639E+5	-8.909720E+1	5.553212E-11	1.819394E+7
6.000000E-2	-2.542356E+1	2.141278E+0	-2.542355E+1	-7.366952E-7	2.865764E+5	-8.909362E+1	5.552967E-11	1.812323E+7
7.000000E-2	-2.542357E+1	2.434845E+0	-2.542356E+1	-8.495943E-7	2.865934E+5	-8.908810E+1	5.552636E-11	1.801443E+7
8.000000E-2	-2.542357E+1	2.276357E+0	-2.542356E+1	-8.743979E-7	2.866073E+5	-8.908327E+1	5.552364E-11	1.791873E+7
9.000000E-2	-2.542358E+1	2.209432E+0	-2.542358E+1	-1.034338E-6	2.865845E+5	-8.908687E+1	5.552807E-11	1.798223E+7
1.000000E-1	-2.542359E+1	2.251714E+0	-2.542359E+1	-1.130702E-6	2.865617E+5	-8.909047E+1	5.553251E-11	1.804573E+7
1.100000E-1	-2.542362E+1	2.372656E+0	-2.542362E+1	-1.446306E-6	2.865485E+5	-8.909013E+1	5.553508E-11	1.803704E+7
1.200000E-1	-2.542363E+1	2.454072E+0	-2.542362E+1	-1.496483E-6	2.865424E+5	-8.908688E+1	5.553625E-11	1.797469E+7
1.300000E-1	-2.542363E+1	2.221824E+0	-2.542362E+1	-1.466548E-6	2.865392E+5	-8.908445E+1	5.553688E-11	1.792878E+7
1.400000E-1	-2.542364E+1	2.133446E+0	-2.542363E+1	-1.593987E-6	2.865584E+5	-8.908847E+1	5.553315E-11	1.801160E+7
1.500000E-1	-2.542364E+1	2.447432E+0	-2.542363E+1	-1.611378E-6	2.865777E+5	-8.909248E+1	5.552941E-11	1.809443E+7
1.600000E-1	-2.542364E+1	2.313564E+0	-2.542364E+1	-1.634756E-6	2.865793E+5	-8.909281E+1	5.552907E-11	1.810272E+7
1.700000E-1	-2.542367E+1	2.306611E+0	-2.542367E+1	-1.944944E-6	2.865701E+5	-8.909089E+1	5.553080E-11	1.806556E+7
