Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	Z	PHASE	CP	RP
0.000000E+0	-2.542369E+1	1.094933E+0	-2.542368E+1	0.000000E+0	2.271420E+5	-8.892700E+1	7.005610E-11	1.212400E+7
1.000000E-2	-2.542368E+1	1.109065E+0	-2.542368E+1	7.270018E-8	2.271630E+5	-8.893669E+1	7.004984E-11	1.224015E+7
2.000000E-2	-2.542368E+1	1.011929E+0	-2.542368E+1	7.469587E-8	2.271840E+5	-8.894637E+1	7.004359E-11	1.235631E+7
3.000000E-2	-2.542368E+1	9.926315E-1	-2.542367E+1	9.408259E-8	2.272020E+5	-8.894805E+1	7.003805E-11	1.237654E+7
4.000000E-2	-2.542368E+1	1.243260E+0	-2.542367E+1	1.317156E-7	2.272173E+5	-8.894240E+1	7.003317E-11	1.230901E+7
5.000000E-2	-2.542369E+1	1.112926E+0	-2.542368E+1	6.044093E-8	2.272327E+5	-8.893658E+1	7.002827E-11	1.223997E+7
6.000000E-2	-2.542368E+1	1.065289E+0	-2.542367E+1	1.163203E-7	2.272485E+5	-8.892726E+1	7.002321E-11	1.213845E+7
7.000000E-2	-2.542368E+1	1.040339E+0	-2.542368E+1	7.441077E-8	2.272643E+5	-8.891794E+1	7.001814E-11	1.203692E+7
8.000000E-2	-2.542368E+1	1.206025E+0	-2.542367E+1	1.037759E-7	2.272752E+5	-8.891469E+1	7.001480E-11	1.200168E+7
9.000000E-2	-2.542368E+1	1.179310E+0	-2.542367E+1	1.394133E-7	2.272823E+5	-8.891589E+1	7.001272E-11	1.201499E+7
1.000000E-1	-2.542368E+1	1.091291E+0	-2.542368E+1	7.412567E-8	2.272873E+5	-8.891703E+1	7.001131E-11	1.202743E+7
1.100000E-1	-2.542369E+1	1.011402E+0	-2.542368E+1	6.272172E-9	2.272653E+5	-8.891744E+1	7.001812E-11	1.202914E+7
1.200000E-1	-2.542369E+1	1.158649E+0	-2.542369E+1	-1.511023E-8	2.272433E+5	-8.891785E+1	7.002493E-11	1.203085E+7
1.300000E-1	-2.542368E+1	1.117564E+0	-2.542367E+1	1.148948E-7	2.272155E+5	-8.892072E+1	7.003355E-11	1.206251E+7
