Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	Z	PHASE	CP	RP
0.000000E+0	-2.542350E+1	1.152600E+0	-2.542349E+1	0.000000E+0	2.514210E+5	-8.894500E+1	6.329150E-11	1.365050E+7
1.000000E-2	-2.542350E+1	1.486517E+0	-2.542350E+1	-4.903698E-8	2.514214E+5	-8.894780E+1	6.329146E-11	1.368764E+7
2.000000E-2	-2.542350E+1	1.337333E+0	-2.542349E+1	-7.697666E-9	2.514218E+5	-8.895060E+1	6.329142E-11	1.372478E+7
3.000000E-2	-2.542351E+1	1.360793E+0	-2.542350E+1	-6.614291E-8	2.514192E+5	-8.894979E+1	6.329206E-11	1.371429E+7
4.000000E-2	-2.542351E+1	1.209895E+0	-2.542350E+1	-8.781041E-8	2.514136E+5	-8.894539E+1	6.329338E-11	1.365641E+7
5.000000E-2	-2.542350E+1	1.336411E+0	-2.542349E+1	-1.967181E-8	2.514080E+5	-8.894099E+1	6.329470E-11	1.359862E+7
6.000000E-2	-2.542351E+1	1.435974E+0	-2.542350E+1	-1.097630E-7	2.514095E+5	-8.893868E+1	6.329420E-11	1.357123E+7
7.000000E-2	-2.542351E+1	1.322650E+0	-2.542350E+1	-1.137544E-7	2.514111E+5	-8.893636E+1	6.329369E-11	1.354385E+7
8.000000E-2	-2.542351E+1	1.196177E+0	-2.542350E+1	-7.498097E-8	2.514091E+5	-8.893562E+1	6.329416E-11	1.353511E+7
9.000000E-2	-2.542351E+1	1.369235E+0	-2.542350E+1	-7.013429E-8	2.514020E+5	-8.893711E+1	6.329599E-11	1.355276E+7
1.000000E-1	-2.542350E+1	1.297374E+0	-2.542349E+1	-1.083375E-8	2.513949E+5	-8.893860E+1	6.329781E-11	1.357041E+7
1.100000E-1	-2.542351E+1	1.464346E+0	-2.542350E+1	-1.029206E-7	2.514034E+5	-8.894167E+1	6.329575E-11	1.360888E+7
1.200000E-1	-2.542351E+1	1.136316E+0	-2.542350E+1	-1.103332E-7	2.514175E+5	-8.894531E+1	6.329227E-11	1.365487E+7
1.300000E-1	-2.542351E+1	1.391391E+0	-2.542350E+1	-8.952101E-8	2.514264E+5	-8.894790E+1	6.329010E-11	1.368798E+7
1.400000E-1	-2.542351E+1	1.300126E+0	-2.542350E+1	-7.441077E-8	2.514204E+5	-8.894749E+1	6.329163E-11	1.368443E+7
1.500000E-1	-2.542351E+1	1.288909E+0	-2.542350E+1	-5.873034E-8	2.514143E+5	-8.894709E+1	6.329316E-11	1.368088E+7
1.600000E-1	-2.542351E+1	1.296364E+0	-2.542350E+1	-1.077673E-7	2.514148E+5	-8.894639E+1	6.329301E-11	1.367245E+7
1.700000E-1	-2.542352E+1	1.402679E+0	-2.542351E+1	-1.619361E-7	2.514172E+5	-8.894560E+1	6.329238E-11	1.366264E+7
1.800000E-1	-2.542351E+1	1.408882E+0	-2.542350E+1	-1.237329E-7	2.514155E+5	-8.894363E+1	6.329277E-11	1.363768E+7
1.900000E-1	-2.542351E+1	1.395140E+0	-2.542350E+1	-7.925745E-8	2.514008E+5	-8.893794E+1	6.329639E-11	1.356485E+7
2.000000E-1	-2.542351E+1	1.215399E+0	-2.542350E+1	-1.322858E-7	2.513862E+5	-8.893225E+1	6.330000E-11	1.349202E+7
2.100000E-1	-2.542351E+1	1.506885E+0	-2.542350E+1	-1.186011E-7	2.514016E+5	-8.893509E+1	6.329615E-11	1.352676E+7
2.200000E-1	-2.542351E+1	1.316709E+0	-2.542350E+1	-8.011275E-8	2.514253E+5	-8.894033E+1	6.329018E-11	1.359184E+7
2.300000E-1	-2.542351E+1	1.323125E+0	-2.542350E+1	-1.205968E-7	2.514366E+5	-8.894315E+1	6.328734E-11	1.362701E+7
2.400000E-1	-2.542351E+1	1.239753E+0	-2.542351E+1	-1.422643E-7	2.514188E+5	-8.894031E+1	6.329180E-11	1.359237E+7
