Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	Z	PHASE	CP	RP
0.000000E+0	-2.542382E+1	-8.753315E+0	-2.542381E+1	0.000000E+0	2.755540E+5	-8.910200E+1	5.775110E-11	1.758220E+7
1.000000E-2	-2.542382E+1	-8.815392E+0	-2.542382E+1	-4.190952E-8	2.755430E+5	-8.910282E+1	5.775342E-11	1.759561E+7
2.000000E-2	-2.542383E+1	-8.794642E+0	-2.542382E+1	-5.616445E-8	2.755320E+5	-8.910363E+1	5.775575E-11	1.760901E+7
3.000000E-2	-2.542382E+1	-8.943491E+0	-2.542381E+1	-8.838061E-9	2.755358E+5	-8.910621E+1	5.775497E-11	1.765895E+7
4.000000E-2	-2.542382E+1	-8.829678E+0	-2.542381E+1	1.425494E-8	2.755520E+5	-8.911024E+1	5.775162E-11	1.773924E+7
5.000000E-2	-2.542382E+1	-8.803946E+0	-2.542381E+1	-2.565889E-9	2.755669E+5	-8.911391E+1	5.774853E-11	1.781225E+7
6.000000E-2	-2.542382E+1	-8.804081E+0	-2.542382E+1	-4.105422E-8	2.755648E+5	-8.911269E+1	5.774894E-11	1.778871E+7
7.000000E-2	-2.542382E+1	-8.909763E+0	-2.542381E+1	-1.282944E-8	2.755628E+5	-8.911148E+1	5.774934E-11	1.776517E+7
8.000000E-2	-2.542383E+1	-8.857585E+0	-2.542382E+1	-6.386212E-8	2.755620E+5	-8.910882E+1	5.774948E-11	1.771450E+7
9.000000E-2	-2.542382E+1	-8.699973E+0	-2.542382E+1	-4.247971E-8	2.755620E+5	-8.910526E+1	5.774944E-11	1.764650E+7
1.000000E-1	-2.542383E+1	-8.831806E+0	-2.542382E+1	-7.070449E-8	2.755609E+5	-8.910182E+1	5.774962E-11	1.758107E+7
1.100000E-1	-2.542382E+1	-8.810661E+0	-2.542381E+1	1.282944E-8	2.755488E+5	-8.909980E+1	5.775212E-11	1.754264E+7
1.200000E-1	-2.542382E+1	-8.888054E+0	-2.542381E+1	-1.710593E-9	2.755367E+5	-8.909778E+1	5.775463E-11	1.750421E+7
