Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.000000E+0	-2.542345E+1	9.341771E-1	-2.542344E+1	0.000000E+0	1.294760E+3	-4.550170E+3	1.701690E+3	-1.252220E+4	4.790630E+3	-2.393460E+4	1.755330E+4	-4.635260E+4
1.000000E-2	-2.542345E+1	1.207208E+0	-2.542344E+1	-2.394829E-8	1.299385E+3	-4.545545E+3	1.701690E+3	-1.252220E+4	4.790630E+3	-2.393923E+4	1.755330E+4	-4.635723E+4
2.000000E-2	-2.542346E+1	1.060483E+0	-2.542345E+1	-9.636338E-8	1.304010E+3	-4.540920E+3	1.701690E+3	-1.252220E+4	4.790630E+3	-2.394385E+4	1.755330E+4	-4.636185E+4
3.000000E-2	-2.542345E+1	1.051528E+0	-2.542344E+1	-3.506715E-8	1.308635E+3	-4.536295E+3	1.701690E+3	-1.252220E+4	4.790630E+3	-2.394848E+4	1.755330E+4	-4.636648E+4
4.000000E-2	-2.542346E+1	9.229314E-1	-2.542345E+1	-9.294219E-8	1.313260E+3	-4.531669E+3	1.701689E+3	-1.252220E+4	4.790630E+3	-2.395310E+4	1.755330E+4	-4.637110E+4
5.000000E-2	-2.542345E+1	1.158868E+0	-2.542344E+1	-6.500251E-8	1.313260E+3	-4.525506E+3	1.695523E+3	-1.252220E+4	4.790630E+3	-2.395310E+4	1.755330E+4	-4.635260E+4
6.000000E-2	-2.542345E+1	1.085135E+0	-2.542344E+1	-4.846679E-9	1.313260E+3	-4.519343E+3	1.689356E+3	-1.252220E+4	4.790630E+3	-2.395310E+4	1.755330E+4	-4.633410E+4
7.000000E-2	-2.542345E+1	1.091198E+0	-2.542344E+1	-4.133932E-8	1.313260E+3	-4.513180E+3	1.683190E+3	-1.252220E+4	4.790630E+3	-2.395310E+4	1.755330E+4	-4.631560E+4
8.000000E-2	-2.542344E+1	9.230850E-1	-2.542343E+1	4.247971E-8	1.313260E+3	-4.513180E+3	1.697053E+3	-1.252220E+4	4.772145E+3	-2.394386E+4	1.755330E+4	-4.625552E+4
9.000000E-2	-2.542345E+1	1.149611E+0	-2.542344E+1	-9.693357E-9	1.313260E+3	-4.513180E+3	1.710916E+3	-1.252220E+4	4.753660E+3	-2.393461E+4	1.755330E+4	-4.619543E+4
1.000000E-1	-2.542345E+1	1.020492E+0	-2.542344E+1	-3.535224E-8	1.313260E+3	-4.513180E+3	1.724779E+3	-1.252220E+4	4.735175E+3	-2.392537E+4	1.755330E+4	-4.613535E+4
1.100000E-1	-2.542345E+1	1.078313E+0	-2.542344E+1	-2.594399E-8	1.313260E+3	-4.513180E+3	1.738643E+3	-1.252220E+4	4.716690E+3	-2.391612E+4	1.755330E+4	-4.607526E+4
1.200000E-1	-2.542345E+1	9.792903E-1	-2.542344E+1	-3.079067E-8	1.313260E+3	-4.516255E+3	1.732529E+3	-1.252220E+4	4.716640E+3	-2.390996E+4	1.755330E+4	-4.607202E+4
1.300000E-1	-2.542345E+1	1.109401E+0	-2.542344E+1	5.701974E-9	1.313260E+3	-4.519338E+3	1.726361E+3	-1.252220E+4	4.716640E+3	-2.390381E+4	1.755330E+4	-4.606894E+4
1.400000E-1	-2.542345E+1	1.133727E+0	-2.542344E+1	-4.675619E-8	1.313260E+3	-4.522421E+3	1.720193E+3	-1.252220E+4	4.716640E+3	-2.389766E+4	1.755330E+4	-4.606585E+4
1.500000E-1	-2.542345E+1	1.051254E+0	-2.542344E+1	-2.965027E-8	1.313260E+3	-4.525504E+3	1.714025E+3	-1.252220E+4	4.716640E+3	-2.389151E+4	1.755330E+4	-4.606277E+4
1.600000E-1	-2.542346E+1	9.591086E-1	-2.542345E+1	-1.248733E-7	1.313260E+3	-4.528587E+3	1.707857E+3	-1.252220E+4	4.716640E+3	-2.388535E+4	1.755330E+4	-4.605968E+4
1.700000E-1	-2.542345E+1	1.230813E+0	-2.542344E+1	-6.072603E-8	1.313260E+3	-4.531670E+3	1.701690E+3	-1.252220E+4	4.716642E+3	-2.387920E+4	1.755330E+4	-4.605660E+4
1.800000E-1	-2.542345E+1	1.021321E+0	-2.542344E+1	-6.186643E-8	1.313260E+3	-4.531670E+3	1.701690E+3	-1.251295E+4	4.735137E+3	-2.387920E+4	1.755330E+4	-4.609360E+4
1.900000E-1	-2.542345E+1	1.152037E+0	-2.542345E+1	-7.811706E-8	1.313259E+3	-4.531669E+3	1.701690E+3	-1.250370E+4	4.753631E+3	-2.387920E+4	1.755330E+4	-4.613060E+4
2.000000E-1	-2.542345E+1	9.265821E-1	-2.542344E+1	-4.932208E-8	1.307093E+3	-4.519339E+3	1.701690E+3	-1.249753E+4	4.759797E+3	-2.387920E+4	1.755330E+4	-4.614293E+4
2.100000E-1	-2.542346E+1	1.236126E+0	-2.542345E+1	-1.128991E-7	1.300926E+3	-4.507010E+3	1.701690E+3	-1.249137E+4	4.765964E+3	-2.387920E+4	1.755330E+4	-4.615527E+4
2.200000E-1	-2.542346E+1	1.076143E+0	-2.542345E+1	-1.151799E-7	1.294760E+3	-4.494680E+3	1.701690E+3	-1.248520E+4	4.772130E+3	-2.387920E+4	1.755330E+4	-4.616760E+4
2.300000E-1	-2.542346E+1	1.057261E+0	-2.542345E+1	-1.040610E-7	1.291062E+3	-4.498380E+3	1.697990E+3	-1.248520E+4	4.775830E+3	-2.387920E+4	1.754960E+4	-4.617500E+4
2.400000E-1	-2.542346E+1	9.682449E-1	-2.542345E+1	-1.377027E-7	1.287364E+3	-4.502080E+3	1.694290E+3	-1.248520E+4	4.779530E+3	-2.387920E+4	1.754590E+4	-4.618240E+4
2.500000E-1	-2.542346E+1	1.255898E+0	-2.542345E+1	-1.588000E-7	1.283666E+3	-4.505780E+3	1.690590E+3	-1.248520E+4	4.783230E+3	-2.387920E+4	1.754220E+4	-4.618980E+4
2.600000E-1	-2.542346E+1	1.213169E+0	-2.542345E+1	-1.291497E-7	1.279968E+3	-4.509480E+3	1.686890E+3	-1.248520E+4	4.786930E+3	-2.387920E+4	1.753850E+4	-4.619720E+4
2.700000E-1	-2.542346E+1	1.078094E+0	-2.542345E+1	-1.003548E-7	1.276270E+3	-4.513180E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.620460E+4
2.800000E-1	-2.542346E+1	9.399187E-1	-2.542345E+1	-1.057716E-7	1.282433E+3	-4.507013E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.621077E+4
2.900000E-1	-2.542346E+1	1.248415E+0	-2.542345E+1	-1.203117E-7	1.288597E+3	-4.500847E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.621693E+4
3.000000E-1	-2.542345E+1	1.188153E+0	-2.542344E+1	-5.758995E-8	1.294760E+3	-4.494680E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.622310E+4
3.100000E-1	-2.542346E+1	9.785686E-1	-2.542345E+1	-1.111885E-7	1.291062E+3	-4.494680E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.622310E+4
3.200000E-1	-2.542346E+1	9.486545E-1	-2.542345E+1	-1.260136E-7	1.287364E+3	-4.494680E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.622310E+4
3.300000E-1	-2.542347E+1	1.098630E+0	-2.542346E+1	-2.212366E-7	1.283666E+3	-4.494680E+3	1.683190E+3	-1.248520E+4	4.790630E+3	-2.387920E+4	1.753480E+4	-4.622310E+4
