Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.000000E+0	-2.542280E+1	2.043089E+0	-2.542279E+1	0.000000E+0	1.627700E+3	-5.678470E+3	3.625340E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.843090E+4
1.000000E-2	-2.542281E+1	2.248539E+0	-2.542280E+1	-7.868725E-8	1.623895E+3	-5.678470E+3	3.629147E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.843090E+4
2.000000E-2	-2.542281E+1	2.248883E+0	-2.542280E+1	-7.612137E-8	1.620091E+3	-5.678470E+3	3.632953E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.843090E+4
3.000000E-2	-2.542280E+1	2.329182E+0	-2.542279E+1	-1.482513E-8	1.616286E+3	-5.678470E+3	3.636760E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.843090E+4
4.000000E-2	-2.542281E+1	2.109045E+0	-2.542281E+1	-1.542384E-7	1.612482E+3	-5.678470E+3	3.640567E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.843090E+4
5.000000E-2	-2.542280E+1	2.315193E+0	-2.542280E+1	-5.616445E-8	1.610506E+3	-5.678470E+3	3.643192E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.843025E+4
6.000000E-2	-2.542282E+1	2.254508E+0	-2.542281E+1	-2.280790E-7	1.619753E+3	-5.678470E+3	3.638567E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.842563E+4
7.000000E-2	-2.542282E+1	2.299906E+0	-2.542281E+1	-1.875950E-7	1.629001E+3	-5.678470E+3	3.633942E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.842100E+4
8.000000E-2	-2.542282E+1	2.139248E+0	-2.542282E+1	-2.582995E-7	1.638248E+3	-5.678470E+3	3.629317E+3	-1.749780E+4	5.992910E+3	-3.027900E+4	2.286180E+4	-5.841638E+4
9.000000E-2	-2.542282E+1	2.145991E+0	-2.542281E+1	-2.397680E-7	1.646200E+3	-5.677822E+3	3.625988E+3	-1.749780E+4	5.989023E+3	-3.027900E+4	2.286245E+4	-5.840203E+4
1.000000E-1	-2.542283E+1	2.256958E+0	-2.542282E+1	-2.791117E-7	1.646200E+3	-5.673197E+3	3.630613E+3	-1.749780E+4	5.961278E+3	-3.027900E+4	2.286707E+4	-5.832803E+4
1.100000E-1	-2.542283E+1	2.191169E+0	-2.542282E+1	-3.446844E-7	1.646200E+3	-5.668572E+3	3.635238E+3	-1.749780E+4	5.933533E+3	-3.027900E+4	2.287170E+4	-5.825403E+4
1.200000E-1	-2.542283E+1	2.140235E+0	-2.542282E+1	-2.816776E-7	1.646200E+3	-5.663947E+3	3.639863E+3	-1.749780E+4	5.905788E+3	-3.027900E+4	2.287632E+4	-5.818003E+4
1.300000E-1	-2.542284E+1	2.242411E+0	-2.542283E+1	-3.854535E-7	1.646200E+3	-5.659970E+3	3.643470E+3	-1.749743E+4	5.881560E+3	-3.027826E+4	2.287993E+4	-5.811455E+4
1.400000E-1	-2.542285E+1	2.244632E+0	-2.542285E+1	-5.656359E-7	1.646200E+3	-5.659970E+3	3.640827E+3	-1.749479E+4	5.878917E+3	-3.027297E+4	2.287729E+4	-5.810133E+4
1.500000E-1	-2.542286E+1	2.321843E+0	-2.542285E+1	-6.012733E-7	1.646200E+3	-5.659970E+3	3.638184E+3	-1.749214E+4	5.876274E+3	-3.026769E+4	2.287464E+4	-5.808812E+4
1.600000E-1	-2.542287E+1	2.183644E+0	-2.542286E+1	-6.796754E-7	1.646200E+3	-5.659970E+3	3.635541E+3	-1.748950E+4	5.873631E+3	-3.026240E+4	2.287200E+4	-5.807491E+4
1.700000E-1	-2.542286E+1	2.120133E+0	-2.542285E+1	-6.446083E-7	1.646200E+3	-5.659970E+3	3.632898E+3	-1.748686E+4	5.870988E+3	-3.025712E+4	2.286936E+4	-5.806169E+4
1.800000E-1	-2.542287E+1	2.336912E+0	-2.542286E+1	-7.566521E-7	1.646200E+3	-5.659970E+3	3.630255E+3	-1.748422E+4	5.868345E+3	-3.025183E+4	2.286672E+4	-5.804848E+4
1.900000E-1	-2.542287E+1	2.099276E+0	-2.542287E+1	-7.629242E-7	1.646200E+3	-5.659970E+3	3.627613E+3	-1.748157E+4	5.865703E+3	-3.024655E+4	2.286407E+4	-5.803526E+4
2.000000E-1	-2.542289E+1	2.261940E+0	-2.542288E+1	-8.934995E-7	1.646200E+3	-5.658674E+3	3.625988E+3	-1.747865E+4	5.865373E+3	-3.024135E+4	2.286180E+4	-5.802779E+4
2.100000E-1	-2.542289E+1	2.027303E+0	-2.542288E+1	-9.319878E-7	1.646200E+3	-5.649427E+3	3.630613E+3	-1.747403E+4	5.879246E+3	-3.023673E+4	2.286180E+4	-5.805554E+4
