Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.000000E+0	-2.542293E+1	-2.445946E+0	-2.542292E+1	0.000000E+0	1.590710E+3	-5.807940E+3	3.958280E+3	-1.805270E+4	6.029900E+3	-3.070440E+4	2.343520E+4	-5.920770E+4
1.000000E-2	-2.542277E+1	-2.271519E+0	-2.542276E+1	1.703750E-6	1.592863E+3	-5.770950E+3	3.976780E+3	-1.808755E+4	6.044094E+3	-3.070548E+4	2.343628E+4	-5.917629E+4
2.000000E-2	-2.542263E+1	-2.212622E+0	-2.542262E+1	3.081062E-6	1.599995E+3	-5.770950E+3	3.976780E+3	-1.808041E+4	6.029827E+3	-3.070904E+4	2.343984E+4	-5.913350E+4
3.000000E-2	-2.542252E+1	-2.387287E+0	-2.542251E+1	4.243410E-6	1.607128E+3	-5.770950E+3	3.976780E+3	-1.807328E+4	6.015560E+3	-3.071261E+4	2.344341E+4	-5.909071E+4
4.000000E-2	-2.542239E+1	-2.496270E+0	-2.542238E+1	5.527495E-6	1.614261E+3	-5.770950E+3	3.976780E+3	-1.806614E+4	6.001292E+3	-3.071618E+4	2.344698E+4	-5.904792E+4
5.000000E-2	-2.542227E+1	-2.144780E+0	-2.542226E+1	6.733747E-6	1.621393E+3	-5.770950E+3	3.976780E+3	-1.805901E+4	5.987025E+3	-3.071975E+4	2.345055E+4	-5.900513E+4
6.000000E-2	-2.542213E+1	-2.439073E+0	-2.542212E+1	8.222533E-6	1.625911E+3	-5.770055E+3	3.975885E+3	-1.805181E+4	5.971726E+3	-3.072111E+4	2.345370E+4	-5.895835E+4
7.000000E-2	-2.542206E+1	-2.342612E+0	-2.542205E+1	8.932714E-6	1.610457E+3	-5.762326E+3	3.968156E+3	-1.804408E+4	5.948544E+3	-3.070565E+4	2.345370E+4	-5.888106E+4
8.000000E-2	-2.542201E+1	-2.561491E+0	-2.542201E+1	9.360932E-6	1.595004E+3	-5.754598E+3	3.960428E+3	-1.803635E+4	5.925362E+3	-3.069020E+4	2.345370E+4	-5.880378E+4
9.000000E-2	-2.542185E+1	-2.330262E+0	-2.542184E+1	1.102363E-5	1.590710E+3	-5.752450E+3	3.958280E+3	-1.803420E+4	5.924620E+3	-3.068305E+4	2.345085E+4	-5.879655E+4
1.000000E-1	-2.542172E+1	-2.413341E+0	-2.542171E+1	1.240864E-5	1.590710E+3	-5.752450E+3	3.958280E+3	-1.803420E+4	5.932514E+3	-3.067910E+4	2.344690E+4	-5.881628E+4
1.100000E-1	-2.542163E+1	-2.500140E+0	-2.542162E+1	1.327733E-5	1.590710E+3	-5.752450E+3	3.958280E+3	-1.803420E+4	5.940407E+3	-3.067516E+4	2.344296E+4	-5.883602E+4
1.200000E-1	-2.542159E+1	-2.734107E+0	-2.542158E+1	1.369443E-5	1.590710E+3	-5.752450E+3	3.958280E+3	-1.803420E+4	5.948301E+3	-3.067121E+4	2.343901E+4	-5.885575E+4
1.300000E-1	-2.542150E+1	-2.410966E+0	-2.542149E+1	1.464210E-5	1.590710E+3	-5.752809E+3	3.957921E+3	-1.803420E+4	5.956637E+3	-3.066704E+4	2.343484E+4	-5.887623E+4
1.400000E-1	-2.542143E+1	-2.465197E+0	-2.542143E+1	1.528414E-5	1.590710E+3	-5.763110E+3	3.947620E+3	-1.803420E+4	5.977235E+3	-3.065674E+4	2.342454E+4	-5.891744E+4
1.500000E-1	-2.542131E+1	-2.452414E+0	-2.542130E+1	1.658163E-5	1.590710E+3	-5.771819E+3	3.940649E+3	-1.803420E+4	5.994648E+3	-3.064890E+4	2.341670E+4	-5.895141E+4
1.600000E-1	-2.542123E+1	-2.682754E+0	-2.542122E+1	1.734484E-5	1.590710E+3	-5.775457E+3	3.944287E+3	-1.803420E+4	6.001921E+3	-3.064890E+4	2.341670E+4	-5.896232E+4
1.700000E-1	-2.542112E+1	-2.323203E+0	-2.542111E+1	1.850861E-5	1.590710E+3	-5.779094E+3	3.947924E+3	-1.803420E+4	6.009194E+3	-3.064890E+4	2.341670E+4	-5.897323E+4
1.800000E-1	-2.542111E+1	-2.597258E+0	-2.542110E+1	1.861324E-5	1.590710E+3	-5.782732E+3	3.951562E+3	-1.803420E+4	6.016467E+3	-3.064890E+4	2.341670E+4	-5.898414E+4
1.900000E-1	-2.542108E+1	-2.577901E+0	-2.542107E+1	1.886812E-5	1.590710E+3	-5.786369E+3	3.955199E+3	-1.803420E+4	6.023740E+3	-3.064890E+4	2.341670E+4	-5.899506E+4
2.000000E-1	-2.542099E+1	-2.621035E+0	-2.542098E+1	1.984287E-5	1.590710E+3	-5.789100E+3	3.958280E+3	-1.803420E+4	6.030250E+3	-3.064855E+4	2.341670E+4	-5.900465E+4
2.100000E-1	-2.542092E+1	-2.607144E+0	-2.542091E+1	2.057330E-5	1.590710E+3	-5.786816E+3	3.958280E+3	-1.803420E+4	6.032534E+3	-3.064627E+4	2.341670E+4	-5.900692E+4
2.200000E-1	-2.542085E+1	-2.451274E+0	-2.542084E+1	2.126409E-5	1.590710E+3	-5.784531E+3	3.958280E+3	-1.803420E+4	6.034819E+3	-3.064398E+4	2.341670E+4	-5.900919E+4
2.300000E-1	-2.542082E+1	-2.709269E+0	-2.542082E+1	2.151270E-5	1.590710E+3	-5.782247E+3	3.958280E+3	-1.803420E+4	6.037103E+3	-3.064170E+4	2.341670E+4	-5.901146E+4
2.400000E-1	-2.542075E+1	-2.712291E+0	-2.542074E+1	2.227505E-5	1.590710E+3	-5.779962E+3	3.958280E+3	-1.803420E+4	6.039388E+3	-3.063941E+4	2.341670E+4	-5.901374E+4
2.500000E-1	-2.542072E+1	-2.576984E+0	-2.542072E+1	2.253535E-5	1.590710E+3	-5.777677E+3	3.958280E+3	-1.803420E+4	6.041673E+3	-3.063713E+4	2.341670E+4	-5.901601E+4
