Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	7.71310e+03	-9.91419e+03	1.31141e+04	-2.38976e+04	1.67025e+04	-4.10070e+04	3.94533e+04	-7.42825e+04
0.048323	7.69460e+03	-9.91419e+03	1.31326e+04	-2.39161e+04	1.67025e+04	-4.10070e+04	3.94348e+04	-7.42825e+04
0.080322	7.71310e+03	-9.96968e+03	1.31326e+04	-2.39346e+04	1.66840e+04	-4.10070e+04	3.94348e+04	-7.43010e+04
0.124501	7.71310e+03	-9.96968e+03	1.31326e+04	-2.39161e+04	1.66840e+04	-4.10070e+04	3.94163e+04	-7.42270e+04
0.175991	7.71310e+03	-9.91419e+03	1.31696e+04	-2.38607e+04	1.66470e+04	-4.10070e+04	3.93238e+04	-7.38940e+04
0.200951	7.69460e+03	-9.91419e+03	1.31511e+04	-2.38422e+04	1.66285e+04	-4.09700e+04	3.93238e+04	-7.38386e+04
0.251897	7.69460e+03	-9.93269e+03	1.31141e+04	-2.38422e+04	1.66285e+04	-4.09330e+04	3.93423e+04	-7.39310e+04
0.284334	7.71310e+03	-9.89570e+03	1.31141e+04	-2.38422e+04	1.66470e+04	-4.09145e+04	3.93608e+04	-7.39680e+04
0.336338	7.69460e+03	-9.87720e+03	1.31141e+04	-2.38422e+04	1.66655e+04	-4.08961e+04	3.93793e+04	-7.40050e+04
0.368312	7.69460e+03	-9.89570e+03	1.31141e+04	-2.38607e+04	1.66655e+04	-4.08961e+04	3.93793e+04	-7.40235e+04
0.41308	7.69460e+03	-9.89570e+03	1.30956e+04	-2.38792e+04	1.66655e+04	-4.08776e+04	3.93978e+04	-7.40235e+04
0.462138	7.69460e+03	-9.93269e+03	1.30956e+04	-2.38607e+04	1.66840e+04	-4.08776e+04	3.93978e+04	-7.40235e+04
0.495619	7.69460e+03	-9.93269e+03	1.31141e+04	-2.38607e+04	1.66840e+04	-4.08776e+04	3.93978e+04	-7.40420e+04
0.538322	7.69460e+03	-9.95119e+03	1.31141e+04	-2.38607e+04	1.66840e+04	-4.08776e+04	3.93978e+04	-7.40420e+04
0.567584	7.69460e+03	-9.96968e+03	1.31326e+04	-2.38607e+04	1.66840e+04	-4.08776e+04	3.93978e+04	-7.40420e+04
0.617824	7.69460e+03	-9.96968e+03	1.31141e+04	-2.38607e+04	1.67025e+04	-4.08961e+04	3.94163e+04	-7.40235e+04
0.656312	7.71310e+03	-9.98818e+03	1.31141e+04	-2.38792e+04	1.67025e+04	-4.08961e+04	3.94163e+04	-7.40235e+04
0.705586	7.69460e+03	-9.95119e+03	1.31511e+04	-2.38976e+04	1.67025e+04	-4.08776e+04	3.94163e+04	-7.40235e+04
0.752291	7.71310e+03	-9.95119e+03	1.31511e+04	-2.38976e+04	1.67025e+04	-4.08776e+04	3.94163e+04	-7.40235e+04
0.783502	7.73159e+03	-9.96968e+03	1.31511e+04	-2.38792e+04	1.67210e+04	-4.08776e+04	3.94163e+04	-7.40235e+04
0.828933	7.73159e+03	-9.96968e+03	1.31696e+04	-2.38792e+04	1.67210e+04	-4.08961e+04	3.94163e+04	-7.40235e+04
0.863011	7.73159e+03	-9.95119e+03	1.31696e+04	-2.38976e+04	1.67210e+04	-4.08961e+04	3.94163e+04	-7.40050e+04
0.912301	7.71310e+03	-9.93269e+03	1.31326e+04	-2.38976e+04	1.67210e+04	-4.08776e+04	3.94163e+04	-7.40235e+04
0.941263	7.69460e+03	-9.93269e+03	1.31326e+04	-2.38792e+04	1.67210e+04	-4.08961e+04	3.94163e+04	-7.40235e+04
0.984154	7.71310e+03	-9.93269e+03	1.31511e+04	-2.38792e+04	1.67210e+04	-4.08961e+04	3.94163e+04	-7.40050e+04
1.040304	7.71310e+03	-9.95119e+03	1.31696e+04	-2.38976e+04	1.67210e+04	-4.08776e+04	3.94163e+04	-7.40050e+04
1.067638	7.71310e+03	-9.96968e+03	1.31696e+04	-2.38976e+04	1.67395e+04	-4.08961e+04	3.94348e+04	-7.40050e+04
1.117035	7.71310e+03	-9.95119e+03	1.31696e+04	-2.38976e+04	1.67395e+04	-4.08961e+04	3.94348e+04	-7.40050e+04
1.152279	7.69460e+03	-9.95119e+03	1.31696e+04	-2.38976e+04	1.67579e+04	-4.08961e+04	3.94348e+04	-7.40050e+04
1.199828	7.71310e+03	-9.95119e+03	1.31881e+04	-2.38976e+04	1.67579e+04	-4.08961e+04	3.94348e+04	-7.40050e+04
1.229717	7.69460e+03	-9.95119e+03	1.31881e+04	-2.39161e+04	1.67579e+04	-4.08961e+04	3.94533e+04	-7.40235e+04
1.279873	7.69460e+03	-9.96968e+03	1.32066e+04	-2.39161e+04	1.67764e+04	-4.08961e+04	3.94533e+04	-7.40235e+04
1.327676	7.71310e+03	-9.96968e+03	1.31881e+04	-2.39161e+04	1.67579e+04	-4.08961e+04	3.94533e+04	-7.40050e+04
1.351837	7.71310e+03	-9.96968e+03	1.31881e+04	-2.38976e+04	1.67764e+04	-4.08961e+04	3.94533e+04	-7.40050e+04
