Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	1.32991e+03	-1.97544e+03	2.05683e+03	-4.54277e+03	3.83435e+03	-8.01644e+03	4.65005e+03	-1.39872e+04
0.039975	1.32806e+03	-1.97729e+03	2.05683e+03	-4.54277e+03	3.83250e+03	-8.01644e+03	4.65005e+03	-1.39853e+04
0.099945	1.32621e+03	-1.97729e+03	2.05868e+03	-4.54462e+03	3.83435e+03	-8.01644e+03	4.65190e+03	-1.39853e+04
0.099945	1.32621e+03	-1.97914e+03	2.05683e+03	-4.54647e+03	3.83435e+03	-8.01644e+03	4.65375e+03	-1.39872e+04
0.189895	1.36875e+03	-1.93290e+03	2.18075e+03	-4.55942e+03	3.79181e+03	-8.01829e+03	4.64635e+03	-1.40408e+04
0.229875	1.46678e+03	-1.82192e+03	2.47300e+03	-4.58901e+03	3.69378e+03	-8.02199e+03	4.63341e+03	-1.41684e+04
0.229875	1.48343e+03	-1.80712e+03	2.51369e+03	-4.59271e+03	3.68453e+03	-8.02014e+03	4.62971e+03	-1.41721e+04
0.239869	1.47973e+03	-1.79787e+03	2.50629e+03	-4.58901e+03	3.71042e+03	-8.02199e+03	4.62971e+03	-1.41222e+04
0.289844	1.47973e+03	-1.78862e+03	2.49335e+03	-4.57977e+03	3.74742e+03	-8.02569e+03	4.63341e+03	-1.40519e+04
0.339816	1.47973e+03	-1.77753e+03	2.48040e+03	-4.56867e+03	3.78256e+03	-8.03124e+03	4.63711e+03	-1.39872e+04
0.3698	1.48158e+03	-1.77198e+03	2.46930e+03	-4.56682e+03	3.81401e+03	-8.04418e+03	4.64820e+03	-1.39465e+04
0.44979	1.47973e+03	-1.77013e+03	2.46005e+03	-4.57237e+03	3.83990e+03	-8.06823e+03	4.67410e+03	-1.39354e+04
0.459787	1.47973e+03	-1.77198e+03	2.45450e+03	-4.58531e+03	3.85655e+03	-8.09228e+03	4.69999e+03	-1.39465e+04
0.521553	1.47788e+03	-1.77753e+03	2.45635e+03	-4.59826e+03	3.86765e+03	-8.11077e+03	4.72219e+03	-1.39650e+04
0.581519	1.47788e+03	-1.78308e+03	2.45820e+03	-4.60936e+03	3.86950e+03	-8.12372e+03	4.73884e+03	-1.39835e+04
0.632473	1.47603e+03	-1.78862e+03	2.45820e+03	-4.62046e+03	3.87504e+03	-8.13667e+03	4.75548e+03	-1.40038e+04
0.6425	1.47603e+03	-1.79232e+03	2.46375e+03	-4.62786e+03	3.87504e+03	-8.14222e+03	4.76473e+03	-1.40204e+04
0.662456	1.47603e+03	-1.79417e+03	2.46560e+03	-4.62786e+03	3.87319e+03	-8.14407e+03	4.76843e+03	-1.40297e+04
