Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	1.33731e+03	-1.99579e+03	2.07347e+03	-4.58162e+03	3.88244e+03	-8.07008e+03	4.71109e+03	-1.40463e+04
0.049974	1.33731e+03	-1.99579e+03	2.07347e+03	-4.58347e+03	3.88244e+03	-8.06823e+03	4.70924e+03	-1.40482e+04
0.069961	1.33731e+03	-1.99949e+03	2.07717e+03	-4.58162e+03	3.88244e+03	-8.06823e+03	4.70924e+03	-1.40482e+04
0.139926	1.34655e+03	-1.98654e+03	2.10862e+03	-4.58531e+03	3.87134e+03	-8.07008e+03	4.70924e+03	-1.40630e+04
0.139926	1.44274e+03	-1.87926e+03	2.39161e+03	-4.62046e+03	3.77516e+03	-8.07563e+03	4.69814e+03	-1.41888e+04
0.198912	1.49268e+03	-1.82562e+03	2.53774e+03	-4.63341e+03	3.72892e+03	-8.07748e+03	4.69444e+03	-1.42443e+04
0.25888	1.49083e+03	-1.81822e+03	2.53034e+03	-4.63156e+03	3.74927e+03	-8.07563e+03	4.69629e+03	-1.42054e+04
0.278839	1.49453e+03	-1.80897e+03	2.51739e+03	-4.62231e+03	3.78441e+03	-8.07933e+03	4.69629e+03	-1.41370e+04
0.298827	1.49453e+03	-1.79787e+03	2.50629e+03	-4.61306e+03	3.82140e+03	-8.08303e+03	4.69999e+03	-1.40685e+04
0.358795	1.49453e+03	-1.79232e+03	2.49335e+03	-4.60566e+03	3.85100e+03	-8.08673e+03	4.69999e+03	-1.40167e+04
0.398773	1.49638e+03	-1.78492e+03	2.48965e+03	-4.59826e+03	3.86950e+03	-8.08858e+03	4.69999e+03	-1.39816e+04
0.428757	1.49638e+03	-1.78677e+03	2.48595e+03	-4.59271e+03	3.87689e+03	-8.09043e+03	4.69999e+03	-1.39631e+04
0.478731	1.49638e+03	-1.78308e+03	2.48595e+03	-4.59456e+03	3.88059e+03	-8.09228e+03	4.70369e+03	-1.39631e+04
0.538699	1.49453e+03	-1.78492e+03	2.48410e+03	-4.59826e+03	3.88059e+03	-8.09782e+03	4.70739e+03	-1.39724e+04
0.608691	1.49268e+03	-1.78862e+03	2.48595e+03	-4.60751e+03	3.88059e+03	-8.10707e+03	4.71849e+03	-1.39927e+04
0.608691	1.49083e+03	-1.79602e+03	2.48780e+03	-4.62231e+03	3.88244e+03	-8.12187e+03	4.73699e+03	-1.40204e+04
0.668631	1.49083e+03	-1.80157e+03	2.49150e+03	-4.62786e+03	3.88429e+03	-8.13482e+03	4.74809e+03	-1.40426e+04
0.688619	1.49268e+03	-1.80157e+03	2.49150e+03	-4.63341e+03	3.88429e+03	-8.14222e+03	4.75733e+03	-1.40556e+04
0.748619	1.49268e+03	-1.80342e+03	2.49150e+03	-4.64450e+03	3.88984e+03	-8.15331e+03	4.77028e+03	-1.40704e+04
0.768576	1.49083e+03	-1.80897e+03	2.49150e+03	-4.65005e+03	3.90094e+03	-8.16441e+03	4.78323e+03	-1.40778e+04
0.828576	1.49083e+03	-1.81452e+03	2.49520e+03	-4.65745e+03	3.90834e+03	-8.17736e+03	4.79803e+03	-1.40889e+04
