Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	2.36942e+03	-1.89775e+03	4.67225e+03	-2.90212e+03	7.22478e+03	-1.07854e+04	8.54544e+03	-1.71963e+04
0.091756	2.36942e+03	-1.89960e+03	4.67225e+03	-2.90397e+03	7.22293e+03	-1.07872e+04	8.54359e+03	-1.71982e+04
0.091756	2.36757e+03	-1.90700e+03	4.67225e+03	-2.90582e+03	7.22478e+03	-1.07872e+04	8.54359e+03	-1.71982e+04
0.123669	2.36572e+03	-1.90700e+03	4.67040e+03	-2.90582e+03	7.22478e+03	-1.07854e+04	8.54359e+03	-1.71945e+04
0.142618	2.36017e+03	-1.90885e+03	4.68150e+03	-2.89472e+03	7.20999e+03	-1.07558e+04	8.56579e+03	-1.72130e+04
0.190613	2.35462e+03	-1.91255e+03	4.69629e+03	-2.87808e+03	7.18779e+03	-1.07151e+04	8.58429e+03	-1.72352e+04
0.238485	2.35832e+03	-1.90700e+03	4.69075e+03	-2.88362e+03	7.18594e+03	-1.07336e+04	8.55284e+03	-1.72241e+04
0.270399	2.36017e+03	-1.90330e+03	4.68520e+03	-2.89287e+03	7.18224e+03	-1.07502e+04	8.52695e+03	-1.72167e+04
0.318271	2.36572e+03	-1.90515e+03	4.67965e+03	-2.89842e+03	7.18224e+03	-1.07613e+04	8.50845e+03	-1.72093e+04
0.389083	2.36942e+03	-1.90330e+03	4.67595e+03	-2.89842e+03	7.18409e+03	-1.07669e+04	8.50290e+03	-1.72019e+04
0.421995	2.37127e+03	-1.89775e+03	4.67780e+03	-2.89842e+03	7.18039e+03	-1.07706e+04	8.49735e+03	-1.72037e+04
0.500786	2.36942e+03	-1.89590e+03	4.67780e+03	-2.89842e+03	7.18039e+03	-1.07724e+04	8.49365e+03	-1.72000e+04
0.500786	2.37312e+03	-1.89775e+03	4.67595e+03	-2.90212e+03	7.18224e+03	-1.07761e+04	8.48995e+03	-1.72000e+04
0.551648	2.36942e+03	-1.89590e+03	4.67410e+03	-2.90212e+03	7.18224e+03	-1.07761e+04	8.48625e+03	-1.72019e+04
0.568604	2.36942e+03	-1.89775e+03	4.67410e+03	-2.90212e+03	7.18039e+03	-1.07780e+04	8.48625e+03	-1.72019e+04
0.62646	2.37127e+03	-1.89590e+03	4.67225e+03	-2.90212e+03	7.18409e+03	-1.07743e+04	8.48995e+03	-1.71982e+04
0.690281	2.37127e+03	-1.89775e+03	4.67410e+03	-2.90212e+03	7.18039e+03	-1.07743e+04	8.49180e+03	-1.72019e+04
0.690281	2.36942e+03	-1.89775e+03	4.67595e+03	-2.90027e+03	7.18039e+03	-1.07743e+04	8.49180e+03	-1.72000e+04
0.795997	2.37127e+03	-1.89590e+03	4.67595e+03	-2.90212e+03	7.18224e+03	-1.07761e+04	8.48995e+03	-1.72000e+04
0.795997	2.36757e+03	-1.89775e+03	4.67595e+03	-2.90397e+03	7.18039e+03	-1.07761e+04	8.48995e+03	-1.72019e+04
0.82193	2.36757e+03	-1.90145e+03	4.67595e+03	-2.90397e+03	7.18224e+03	-1.07761e+04	8.48625e+03	-1.72000e+04
0.879773	2.36757e+03	-1.90330e+03	4.67780e+03	-2.90212e+03	7.18224e+03	-1.07743e+04	8.49180e+03	-1.71982e+04
0.938649	2.36757e+03	-1.89960e+03	4.67595e+03	-2.90212e+03	7.17854e+03	-1.07743e+04	8.48995e+03	-1.72019e+04
0.949691	2.36942e+03	-1.89775e+03	4.67410e+03	-2.90212e+03	7.18224e+03	-1.07743e+04	8.48995e+03	-1.72000e+04
0.973627	2.37127e+03	-1.89960e+03	4.67595e+03	-2.90397e+03	7.18039e+03	-1.07761e+04	8.48810e+03	-1.72000e+04
1.012523	2.36942e+03	-1.90145e+03	4.67410e+03	-2.90397e+03	7.18039e+03	-1.07761e+04	8.48810e+03	-1.72019e+04
1.054412	2.37127e+03	-1.90145e+03	4.67595e+03	-2.90212e+03	7.18224e+03	-1.07743e+04	8.48625e+03	-1.72000e+04
1.102285	2.36942e+03	-1.89960e+03	4.67595e+03	-2.90212e+03	7.18224e+03	-1.07724e+04	8.49365e+03	-1.71982e+04
1.134201	2.36757e+03	-1.89960e+03	4.67595e+03	-2.90027e+03	7.17854e+03	-1.07743e+04	8.49180e+03	-1.72000e+04
1.182071	2.37127e+03	-1.89405e+03	4.67595e+03	-2.90212e+03	7.18224e+03	-1.07743e+04	8.49180e+03	-1.72000e+04
1.226952	2.36942e+03	-1.89960e+03	4.67410e+03	-2.90397e+03	7.18039e+03	-1.07761e+04	8.48810e+03	-1.72000e+04
1.319704	2.36942e+03	-1.89960e+03	4.67410e+03	-2.90397e+03	7.18224e+03	-1.07761e+04	8.48810e+03	-1.72000e+04
1.319704	2.36757e+03	-1.90330e+03	4.67410e+03	-2.90397e+03	7.18224e+03	-1.07761e+04	8.48810e+03	-1.71982e+04
1.349624	2.36942e+03	-1.90700e+03	4.67410e+03	-2.90027e+03	7.18039e+03	-1.07743e+04	8.49180e+03	-1.71982e+04
1.427416	2.37127e+03	-1.89775e+03	4.67410e+03	-2.90027e+03	7.18039e+03	-1.07724e+04	8.49180e+03	-1.72000e+04
1.427416	2.37127e+03	-1.89590e+03	4.67410e+03	-2.90027e+03	7.18224e+03	-1.07743e+04	8.48995e+03	-1.71982e+04
1.50521	2.37127e+03	-1.89590e+03	4.67410e+03	-2.90397e+03	7.18224e+03	-1.07743e+04	8.48810e+03	-1.72019e+04
